phone,screen_size,paresed_price,announced_year,length_mm,width_mm,depth_mm,weight_oz,screen ratio,touchscreen,total_pixels,card_slot,battery_size,bluetooth_m,fast_chaging_power,SAR_EU_head,storage,lens_count,removable_B_Removable,cores_hexa,cores_octa,cores_quad,cores_single,gpu_manufacturer_Broadcom,gpu_manufacturer_Mali,gpu_manufacturer_NO,gpu_manufacturer_PowerVR,gpu_manufacturer_ULP,gpu_manufacturer_Vivante,wlan_ac,wlan_ax,wlan_g,wlan_n,network_g_4g,network_g_5g,network_g_nan
Galaxy J7 V,5.5,240,2017,151.4,76.2,8.6,5.89,0.723,1,921600.0,1,3300.0,4,0,0.5218382352941175,16384.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy Note FE,5.7,500,2017,153.5,73.9,7.9,5.89,0.79,1,3686400.0,1,3200.0,4,1,0.5218382352941175,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy J7 Max,5.7,170,2017,156.7,78.8,8.1,6.31,0.725,1,2073600.0,1,3300.0,4,0,0.46,32768.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J7 Pro,5.5,200,2017,152.5,74.8,8.0,6.38,0.731,1,2073600.0,1,3600.0,4,0,0.57,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy J7 (2017),5.5,200,2017,152.5,74.8,8.0,6.38,0.731,1,2073600.0,1,3600.0,4,0,0.57,16384.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy J5 (2017),5.2,130,2017,146.2,71.3,8.0,5.64,0.715,1,921600.0,1,3000.0,4,0,0.35,16384.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy J3 (2017),5.0,110,2017,143.2,70.3,8.2,5.01,0.685,1,921600.0,1,2400.0,4,0,0.66,16384.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy Folder2,3.8,200,2017,122.0,60.2,16.1,5.82,0.56,1,384000.0,1,1950.0,4,0,0.5218382352941175,16384.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Z4,4.5,80,2017,132.9,69.2,10.3,5.04,0.627,1,384000.0,1,2050.0,4,0,0.5218382352941175,8192.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Galaxy S8,5.8,400,2017,148.9,68.1,8.0,5.47,0.836,1,4262400.0,1,3000.0,5,1,0.32,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
