,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B
A411,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 850,,"Yes, 384 kbps","2007, Q2",Discontinued,94 x 48.5 x 19.5 mm (3.70 x 1.91 x 0.77 in),88 g (3.10 oz),,Mini-SIM,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~27.6% screen-to-body ratio)",128 x 160 pixels (~102 ppi density),,,,,No,54 MB,VGA,Yes,No,No,2.0,No,1.1,,Removable Li-Ion 1000 mAh battery,0.88 W/kg (head),,,,,,,,,,,,,,,,,,Removable
ZV60,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2007, July. Released 2008",Discontinued,91 x 46 x 18.3 mm (3.58 x 1.81 x 0.72 in),105 g (3.70 oz),,Mini-SIM,"TFT, 256K colors","1.9 inches, 11.4 cm2 (~27.1% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,microSD (dedicated slot),30 MB,VGA videocall camera,,No,No,Yes,No,Proprietary,,Removable Li-Ion 960 mAh battery,0.87 W/kg (head),,,,,,,,,,,,,,,,,,Removable
Z240,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2007, April",Discontinued,94.7 x 49.6 x 16.8 mm (3.73 x 1.95 x 0.66 in),96 g (3.39 oz),,Mini-SIM,"TFT, 65K colors","2.1 inches, 13.9 cm2 (~29.5% screen-to-body ratio)",176 x 220 pixels (~134 ppi density),,,,,microSD (dedicated slot),58 MB,VGA videocall camera,,No,No,1.2,No,1.1,,Removable Li-Ion 900 mAh battery,0.67 W/kg (head),About 90 EUR,,,,,,0.61 W/kg (head) 0.58 W/kg (body),,,,,,,,,,,Removable
Z170,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2007, July",Discontinued,117.5 x 48.5 x 9.3 mm (4.63 x 1.91 x 0.37 in),76 g (2.68 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~17.9% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,,microSD (dedicated slot),55 MB,VGA videocall camera,,No,No,"1.2, A2DP",No,1.1,,Removable Li-Po 880 mAh battery,0.31 W/kg (head),About 80 EUR,,,,,,0.71 W/kg (head) 0.82 W/kg (body),,,,,,,,,,,Removable
J600,GSM,GSM 900 / 1800 / 1900,,,,"2007, April",Discontinued,97 x 44 x 15 mm (3.82 x 1.73 x 0.59 in),85 g (3.00 oz),,Mini-SIM,"TFT, 65K colors","1.9 inches, 11.4 cm2 (~26.6% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),,,,,microSD (dedicated slot),20 MB,1.3 MP,Yes,No,No,1.2,No,Proprietary,,Removable Li-Ion 800 mAh battery,0.44 W/kg (head),About 80 EUR,,,,,,0.58 W/kg (head) 0.78 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
i400,GSM,GSM 900 / 1800 / 1900,,,,"2007, April. Released 2008",Discontinued,101 x 50 x 15.8 mm (3.98 x 1.97 x 0.62 in),92 g (3.25 oz),,Mini-SIM,"TFT, 256K colors","2.3 inches, 16.4 cm2 (~32.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~174 ppi density)","Symbian OS 9.2, Series 60 v3.1 UI",TI OMAP 2430,330 MHz ARM 1136,PowerVR MBX,microSD (dedicated slot),40 MB,2 MP,Yes,No,No,"2.0, A2DP",No,2.0,,Removable battery,0.20 W/kg (head),About 290 EUR,,,,,,0.21 W/kg (head) 0.26 W/kg (body),,,,,,,,Class 10,Yes,,Removable
U700,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,,HSPA 3.6/0.384 Mbps,"2007, February",Discontinued,102.5 x 50 x 12.1 mm (4.04 x 1.97 x 0.48 in),86 g (3.03 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~29.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),20/40 MB (depending on region),VGA videocall camera,,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 690 mAh battery,0.88 W/kg (head),About 130 EUR,LED flash,,,,,1.41 W/kg (head) 1.19 W/kg (body),,,,,,,,,,,Removable
U600,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2007, February. Released 2007, April",Discontinued,103.5 x 49.3 x 10.9 mm (4.07 x 1.94 x 0.43 in),81 g (2.86 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 34 x 44 mm, 15.0 cm2 (~29.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),60 MB,"3.15 MP, AF",CIF,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 690 mAh battery,0.48 W/kg (head),About 90 EUR,LED flash,,,,,0.63 W/kg (head) 0.49 W/kg (body),,,,,,,Noise -89.2dB / Crosstalk -86.9dB,Class 10,Class 10,,Removable
U300,GSM,GSM 900 / 1800 / 1900,,,,"2007, February",Discontinued,100 x 51 x 9.6 mm (3.94 x 2.01 x 0.38 in),89 g (3.14 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~29.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,No,70 MB,3.15 MP,Yes,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 690 mAh battery,0.26 W/kg (head),About 150 EUR,,,,,,0.32 W/kg (head) 0.12 W/kg (body),,,,,,,,Class 10,Yes,,Removable
U100,GSM,GSM 900 / 1800 / 1900,,,,"2007, February",Discontinued,105.5 x 50 x 5.9 mm (4.15 x 1.97 x 0.23 in),57 g (2.01 oz),,Mini-SIM,"TFT, 256K colors","1.93 inches, 11.7 cm2 (~22.2% screen-to-body ratio)",220 x 176 pixels (~146 ppi density),,,,,No,70 MB,3.15 MP,CIF,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 690 mAh battery,0.33 W/kg (head),About 80 EUR,,,,,,0.77 W/kg (head) 0.59 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
i710,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2007, February",Discontinued,108.8 x 58 x 13.5 mm (4.28 x 2.28 x 0.53 in),109 g (3.84 oz),,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~38.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 5.0 for PocketPC,,416MHz Intel XScale ARM 920T PXA27x,,microSD (dedicated slot),55 MB,"2 MP, AF",Yes,No,No,2.0,No,1.1,,Removable Li-Ion 1200 mAh battery,0.52 W/kg (head),About 110 EUR,,,,,,0.59 W/kg (head) 0.65 W/kg (body),,,,,,,,Class 10,Yes,,Removable
i520,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,,HSPA 1.8 Mbps,"2007, February",Discontinued,101.7 x 50.5 x 17.9 mm (4.00 x 1.99 x 0.70 in),99 g (3.49 oz),,Mini-SIM,"TFT, 256K colors","2.3 inches, 35 x 46 mm, 16.4 cm2 (~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~174 ppi density)","Symbian OS 9.2, Series 60 v3.1 UI",TI OMAP 2430,330 MHz ARM 1136,PowerVR MBX,microSD (dedicated slot),35 MB,VGA videocall camera,,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 950 mAh battery,0.49 W/kg (head),About 140 EUR,,,,,,,,,,,,,,,,,Removable
F520,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,,HSPA,"2007, February",Cancelled,104.8 x 53.7 x 17.4 mm (4.13 x 2.11 x 0.69 in),,,Mini-SIM,"TFT resistive touchscreen, 256K colors","3.0 inches, 24.9 cm2 (~44.3% screen-to-body ratio)","480 x 272 pixels, 16:9 ratio (~184 ppi density)",,,,,microSD (dedicated slot),,Yes,,No,No,Yes,No,Proprietary,,Removable battery,,,LED flash,,,,,,,,,,,,,,,,Removable
F510,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,,HSPA,"2007, February",Discontinued,116.5 x 50.4 x 10.7 mm (4.59 x 1.98 x 0.42 in),,,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~30.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSD (dedicated slot),410 MB,2 MP,Yes,No,No,"1.2, A2DP",No,2.0,,Removable battery,0.76 W/kg (head),About 110 EUR,,,,,,1.18 W/kg (head) 0.81 W/kg (body),,,,,,,,,,,Removable
P110,GSM,GSM 900 / 1800 / 1900,,,,"2007, February",Cancelled,91 x 47 x 19.5 mm (3.58 x 1.85 x 0.77 in),,,Mini-SIM,"TFT, 65K colors","2.1 inches, 13.9 cm2 (~32.4% screen-to-body ratio)",176 x 220 pixels (~134 ppi density),,,,,No,25 MB,VGA,Yes,No,No,"2.0, A2DP",No,2.0,,Removable battery,,,,,,,,,,,,,,,,Class 10,Yes,,Removable
E840,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2007, February",Discontinued,101.5 x 52.5 x 10.6 mm (4.00 x 2.07 x 0.42 in),99 g (3.49 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~28.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),70 MB,2 MP,CIF,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 690 mAh battery,0.70 W/kg (head),About 80 EUR,,,,,,0.87 W/kg (head) 0.80 W/kg (body),,,,,,,,Class 10,Yes,,Removable
E830,GSM,GSM 900 / 1800 / 1900,,,,"2007, February",Discontinued,100 x 50.5 x 14.9 mm (3.94 x 1.99 x 0.59 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~24.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),29 MB,2 MP,Yes,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 800 mAh battery,0.49 W/kg (head),About 110 EUR,,,,,,0.61 W/kg (head) 0.47 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
E740,GSM,GSM 900 / 1800 / 1900,,,,"2007, February",Discontinued,97 x 46 x 15.9 mm (3.82 x 1.81 x 0.63 in),92 g (3.25 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~28.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),30 MB,2 MP,QCIF,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 880 mAh battery,0.39 W/kg (head),About 120 EUR,,,,,,0.33 W/kg (head) 0.28 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
E590,GSM,GSM 900 / 1800 / 1900,,,,"2007, February",Discontinued,94 x 42 x 13.5 mm (3.70 x 1.65 x 0.53 in),65 g (2.29 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.5 cm2 (~26.5% screen-to-body ratio)","220 x 220 pixels, 1:1 ratio (~173 ppi density)",,,,,microSD (dedicated slot),90 MB,"3.15 MP, AF",CIF,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 800 mAh battery,0.45 W/kg (head),About 60 EUR,,,,,,0.34 W/kg (head) 0.33 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
E230,GSM,GSM 900 / 1800 / 1900,,,,"2007, August",Discontinued,89.8 x 45.8 x 15.7 mm (3.54 x 1.80 x 0.62 in),70 g (2.47 oz),,Mini-SIM,"TFT, 65K colors","1.9 inches, 11.4 cm2 (~27.6% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),,,,,microSD (dedicated slot),10 MB,VGA,Yes,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 750 mAh battery,0.27 W/kg (head),About 80 EUR,,,,,,,,,,,,,,Class 10,Class 10,,Removable
E210,GSM,GSM 900 / 1800 / 1900,,,,"2007, August",Discontinued,91 x 45 x 18 mm (3.58 x 1.77 x 0.71 in),89 g (3.14 oz),,Mini-SIM,"TFT, 65K colors","1.9 inches, 11.4 cm2 (~27.7% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),,,,,microSD (dedicated slot),17 MB,1.3 MP,QCIF,No,No,"1.2, A2DP",No,1.1,,Removable Li-Ion 800 mAh battery,0.66 W/kg (head),About 90 EUR,,,,,,1.39 W/kg (head) 1.21 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
E200,GSM,GSM 900 / 1800 / 1900,,,,"2007, February",Discontinued,108 x 45 x 9.9 mm (4.25 x 1.77 x 0.39 in),95 g (3.35 oz),,Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~21.0% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,,microSD (dedicated slot),20 MB,1.3 MP,Yes,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 800 mAh battery,0.59 W/kg (head),About 80 EUR,,,,,,0.54 W/kg (head) 0.34 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
C520,GSM,GSM 900 / 1800,,,,"2007, April",Discontinued,84.4 x 45.1 x 18.2 mm (3.32 x 1.78 x 0.72 in),74 g (2.61 oz),,Mini-SIM,"TFT, 65K colors","1.67 inches, 8.8 cm2 (~23.1% screen-to-body ratio)",128 x 160 pixels (~123 ppi density),,,,,No,600 KB,VGA,No,No,No,No,No,Proprietary,,Removable Li-Ion 750 mAh battery,0.92 W/kg (head),About 80 EUR,,,,,,,,,,,,,,Class 10,No,,Removable
C450,GSM,GSM 900 / 1800,,,,"2007, July",Discontinued,103.5 x 44.5 x 14.9 mm (4.07 x 1.75 x 0.59 in),72 g (2.54 oz),,Mini-SIM,"TFT, 65K colors","1.52 inches, 7.5 cm2 (~16.2% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~119 ppi density)",,,,,No,2 MB,VGA,No,No,No,No,No,Proprietary,,Removable Li-Ion 800 mAh battery,1.87 W/kg (head),About 60 EUR,,,,,,,,,,,,,,Class 10,No,,Removable
C275,GSM,GSM 900 / 1800,,,,2008. Released 2008,Discontinued,88 x 45 x 19.8 mm (3.46 x 1.77 x 0.78 in),74 g (2.61 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~18.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,600 KB,,,No,No,No,No,No,,Removable battery,0.95 W/kg (head),About 50 EUR,,,,,,,,,,,,,,Class 10,No,,Removable
C270,GSM,GSM 900 / 1800,,,,2008. Released 2008,Discontinued,88.1 x 45.6 x 19.8 mm (3.47 x 1.80 x 0.78 in),74 g (2.61 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~18.1% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,600 KB,,,No,No,No,No,No,,Removable Li-Ion 750 mAh battery,0.95 W/kg (head),About 30 EUR,,,,,,,,,,,,,,Class 10,No,,Removable
C260,GSM,GSM 900 / 1800,,,,"2007, February",Discontinued,88 x 45 x 19.8 mm (3.46 x 1.77 x 0.78 in),74 g (2.61 oz),,Mini-SIM,"UFB, 65K colors","1.5 inches, 7.3 cm2 (~18.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,600 KB,,,No,No,No,No,No,,Removable Li-Ion 750 mAh battery,0.81 W/kg (head),About 60 EUR,,,,,,,,,,,,,,Class 10,No,,Removable
C250,GSM,GSM 900 / 1800,,,,"2007, February",Discontinued,86 x 42 x 19 mm (3.39 x 1.65 x 0.75 in),73 g (2.57 oz),,Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,No,No,No,No,No,,Removable Li-Ion 800 mAh battery,0.90 W/kg (head),About 70 EUR,,,,,,,,,,,,,,Class 10,No,,Removable
i600,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,,HSPA 1.8 Mbps,"2006, December",Discontinued,113 x 59 x 11.8 mm (4.45 x 2.32 x 0.46 in),105 g (3.70 oz),,Mini-SIM,"TFT, 65K colors","2.3 inches, 16.4 cm2 (~24.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~174 ppi density)",Microsoft Windows Mobile 5.0 Smartphone,TI OMAP 1710,200 MHz ARM926EJ-S,,microSD (dedicated slot),"64 MB RAM, 128 MB ROM",VGA videocall camera,,No,Wi-Fi 802.11 b/g,"2.0, A2DP",No,1.1,,Removable Li-Ion 1200 mAh battery,0.78 W/kg (head),About 220 EUR,,,,,,0.72 W/kg (head) 0.48 W/kg (body),,,,,,,,,,,Removable
i617 BlackJack II,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA 3.6/0.384 Mbps,"2007, October",Discontinued,114 x 61 x 13 mm (4.49 x 2.40 x 0.51 in),116 g (4.09 oz),,Mini-SIM,"TFT, 65K colors","2.4 inches, 17.8 cm2 (~25.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Microsoft Windows Mobile 6.0,,260 MHz Dual ARM 9,,"microSD, up to 4 GB (dedicated slot)","128 MB RAM, 256 MB ROM",2 MP,Yes,No,No,"2.0, A2DP",Yes,2.0,,Removable Li-Ion 1700 mAh battery,0.47 W/kg (head),About 100 EUR,,,,,,1.20 W/kg (head) 0.76 W/kg (body),,,,,,,,,,,Removable
i607 BlackJack,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,,HSPA 1.8 Mbps,"2006, December",Discontinued,113 x 59 x 11.8 mm (4.45 x 2.32 x 0.46 in),105 g (3.70 oz),,Mini-SIM,"TFT, 65K colors","2.3 inches, 16.4 cm2 (~24.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~174 ppi density)",Microsoft Windows Mobile 5.0 Smartphone,TI OMAP 1710,220 MHz ARM926EJ-S,,"microSD, up to 4 GB (dedicated slot)","64 MB RAM, 128 MB ROM",1.3 MP,320p,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 1200 mAh battery,,About 240 EUR,,,,,,,,,,,,,,,,,Removable
F500,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,,HSPA,"2006, December",Discontinued,116.4 x 50.4 x 10.7 mm (4.58 x 1.98 x 0.42 in),107 g (3.77 oz),,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~30.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSD (dedicated slot),350 MB,2 MP,320p@15fps,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 900 mAh battery,0.90 W/kg (head),About 190 EUR,,,,,,1.18 W/kg (head) 0.81 W/kg (body),,,,,,,,,,,Removable
F300,GSM,GSM 900 / 1800 / 1900,,,,"2006, December",Discontinued,103.5 x 44 x 9.4 mm (4.07 x 1.73 x 0.37 in),77 g (2.72 oz),,Mini-SIM,"TFT, 256K colors","2.1 inches, 33 x 42 mm, 13.9 cm2 (~30.5% screen-to-body ratio)",176 x 220 pixels (~134 ppi density),,,,,microSD (dedicated slot),128 MB,2 MP,320p,No,No,"2.0, A2DP",No,2.0,,Removable Li-Ion 720 mAh battery,0.68 W/kg (head),About 180 EUR,,,,,,1.07 W/kg (head) 0.31 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
P940,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,,HSPA 1.8 Mbps,"2006, December",Cancelled,,,,Mini-SIM,"TFT, 256K colors","2.15 inches, 14.3 cm2","240 x 320 pixels, 4:3 ratio (~186 ppi density)",,,,,microSD (dedicated slot),,2 MP,Yes,No,No,"v.2.0, A2DP",No,2.0,,Removable battery,0.83 W/kg (head),,,,,,,0.82 W/kg (head) 0.27 W/kg (body),,,,,,,,,,,Removable
P930,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,,HSPA 1.8 Mbps,"2006, December",Discontinued,107 x 49 x 19.7 mm (4.21 x 1.93 x 0.78 in),119 g (4.20 oz),,Mini-SIM,"TFT, 256K colors","2.3 inches, 16.4 cm2 (~31.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~174 ppi density)",,,,,microSD (dedicated slot),20 MB,VGA videocall camera,,No,No,1.2,No,1.1,,Removable Li-Ion 950 mAh battery,0.70 W/kg (head),About 290 EUR,,,,,,0.30 W/kg (head) 0.34 W/kg (body),,,,,,,,,,,Removable
E790,GSM,GSM 900 / 1800 / 1900,,,,"2007, January. Released 2007, October",Discontinued,92 x 48 x 16.5 mm (3.62 x 1.89 x 0.65 in),82 g (2.89 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 35 x 43 mm, 15.2 cm2 (~34.5% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,,,,microSD (dedicated slot),80 MB,2 MP,QCIF,No,No,"1.2, A2DP",No,Proprietary,,Removable Li-Ion 800 mAh battery,0.88 W/kg (head),About 80 EUR,,,,,,,,,,,,,,Class 10,Yes,,Removable
E490,GSM,GSM 900 / 1800 / 1900,,,,"2006, November",Discontinued,94 x 49 x 15.5 mm (3.70 x 1.93 x 0.61 in),83 g (2.93 oz),,Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 43 mm, 15.2 cm2 (~33.1% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,,,,microSD (dedicated slot),22 MB,1.3 MP,Yes,No,No,Yes,No,Proprietary,,Removable Li-Ion 850 mAh battery,0.48 W/kg (head),About 130 EUR,,,,,,0.71 W/kg (head) 0.34 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
E480,GSM,GSM 900 / 1800 / 1900,,,,"2006, November",Discontinued,94 x 48 x 16 mm (3.70 x 1.89 x 0.63 in),85 g (3.00 oz),,Mini-SIM,"TFT, 65K colors","2.0 inches, 32 x 40 mm, 12.6 cm2 (~27.9% screen-to-body ratio)",128 x 160 pixels (~102 ppi density),,,,,microSD (dedicated slot),10 MB,1.3 MP,320p,No,No,"2.0, A2DP",No,Proprietary,,Removable Li-Ion 800 mAh battery,0.37 W/kg (head),,,,,,,0.46 W/kg (head) 0.51 W/kg (body),,,,,,,,Class 10,Class 10,,Removable
E390,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2006, October",Discontinued,93 x 45 x 16 mm (3.66 x 1.77 x 0.63 in),80 g (2.82 oz),,Mini-SIM,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~30.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),15 MB,1.3 MP,Yes,No,No,"2.0, A2DP",No,Proprietary,,Removable Li-Ion 750 mAh battery,0.46 W/kg (head),About 140 EUR,,,,,,0.46 W/kg (head) 0.60 W/kg (body),,,,,,,,Class 10,Yes,,Removable
X550,GSM,GSM 900 / 1800 / 1900,,,,"2007, Q3. Released 2008",Discontinued,90 x 44 x 18.8 mm (3.54 x 1.73 x 0.74 in),75 g (2.65 oz),,Mini-SIM,"TFT, 65K colors","1.9 inches, 11.2 cm2 (~28.2% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~105 ppi density)",,,,,No,2 MB,VGA,No,No,No,2.0,No,Proprietary,,Removable battery,0.99 W/kg (head),About 90 EUR,,,,,,,,,,,,,,Class 10,No,,Removable
X540,GSM,GSM 900 / 1800 / 1900,,,,"2006, October",Discontinued,90 x 46.5 x 17.9 mm (3.54 x 1.83 x 0.70 in),90 g (3.17 oz),,Mini-SIM,"TFT, 65K colors","1.9 inches, 30 x 38 mm, 11.4 cm2 (~27.1% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),,,,,No,2 MB,VGA,No,No,No,"Yes, headset support only",No,Proprietary,,Removable Li-Ion 800 mAh battery,0.79 W/kg (head),About 90 EUR,,,,,,1.00 W/kg (head) 0.39 W/kg (body),,,,,,,,Class 10,No,,Removable
E250,GSM,GSM 900 / 1800 / 1900,,,,"2006, October",Discontinued,99.5 x 49.5 x 14.1 mm (3.92 x 1.95 x 0.56 in),80 g (2.82 oz),,Mini-SIM,"TFT, 65K colors","2.0 inches, 32 x 40 mm, 12.6 cm2 (~25.6% screen-to-body ratio)",128 x 160 pixels (~102 ppi density),,,,,microSD (dedicated slot),10 MB,VGA,QCIF,No,No,"2.0, A2DP",No,1.1,,Removable Li-Ion 750 mAh battery,0.70 W/kg (head),About 90 EUR,,,,,,0.48 W/kg (head) 0.54 W/kg (body),,,,,,,,Class 10,Yes,,Removable
X520,GSM,GSM 900 / 1800 / 1900,,,,"2006, October",Discontinued,89 x 42 x 18 mm (3.50 x 1.65 x 0.71 in),80 g (2.82 oz),,Mini-SIM,"TFT, 65K colors","1.9 inches, 11.4 cm2 (~30.4% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),,,,,No,2.8 MB,VGA,No,No,No,No,No,Proprietary,,Removable Li-Ion 750 mAh battery,0.85 W/kg (head),About 70 EUR,,,,,,1.36 W/kg (head) 0.24 W/kg (body),,,,,,,,Class 10,No,Yes,Removable
X530,GSM,GSM 900 / 1800 / 1900,,,,"2006, October",Discontinued,95 x 45 x 18 mm (3.74 x 1.77 x 0.71 in),79 g (2.79 oz),,Mini-SIM,"TFT, 65K colors","1.9 inches, 30 x 38 mm, 11.4 cm2 (~26.6% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),,,,,No,,VGA,No,No,No,No,No,Proprietary,,Removable Li-Ion 750 mAh battery,0.37 W/kg (head),About 80 EUR,,,,,,0.22 W/kg (head) 0.24 W/kg (body),,,,,,,,Class 10,No,Yes,Removable
C300,GSM,GSM 900 / 1800,,,,"2006, October",Discontinued,92 x 44 x 18.8 mm (3.62 x 1.73 x 0.74 in),94 g (3.32 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~25.2% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,No,2 MB,,,No,No,No,No,No,,Removable Li-Ion 800 mAh battery,0.48 W/kg (head),,,,,,,,,,,,,,,Class 10,No,,Removable
M300,GSM,GSM 900 / 1800 / 1900,,,,"2007, May",Discontinued,80 x 40 x 16.7 mm (3.15 x 1.57 x 0.66 in),63 g (2.22 oz),,Mini-SIM,"TFT, 65K colors","1.6 inches, 8.1 cm2 (~25.2% screen-to-body ratio)",128 x 160 pixels (~128 ppi density),,,,,No,600 KB,VGA,Yes,No,No,No,No,Proprietary,,Removable Li-Ion 700 mAh battery,0.99 W/kg (head),About 60 EUR,,,,,,1.09 W/kg (head) 0.58 W/kg (body),,,,,,,,Class 10,No,,Removable
E690,GSM,GSM 900 / 1800 / 1900,,,,"2006, November",Discontinued,94 x 48 x 15.9 mm (3.70 x 1.89 x 0.63 in),95 g (3.35 oz),,Mini-SIM,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~27.9% screen-to-body ratio)",128 x 160 pixels (~102 ppi density),,,,,microSD (dedicated slot),16 MB,VGA,Yes,No,No,2.0,No,1.1,,Removable Li-Ion 800 mAh battery,0.71 W/kg (head),About 100 EUR,,,,,,0.50 W/kg (head) 0.62 W/kg (body),,,,,,,,Class 10,Yes,,Removable
